,School Type,Total Students,Total School Budget,Per Student Budget,Average Math Score,Average Reading Score
Bailey High School,District,"4,976","$3,124,928",$628.0,77.05%,81.03%
Cabrera High School,Charter,"1,858","$1,081,356",$582.0,83.06%,83.98%
Figueroa High School,District,"2,949","$1,884,411",$639.0,76.71%,81.16%
Ford High School,District,"2,739","$1,763,916",$644.0,77.10%,80.75%
Griffin High School,Charter,"1,468","$917,500",$625.0,83.35%,83.82%
Hernandez High School,District,"4,635","$3,022,020",$652.0,77.29%,80.93%
Holden High School,Charter,427,"$248,087",$581.0,83.80%,83.81%
Huang High School,District,"2,917","$1,910,635",$655.0,76.63%,81.18%
Johnson High School,District,"4,761","$3,094,650",$650.0,77.07%,80.97%
Pena High School,Charter,962,"$585,858",$609.0,83.84%,84.04%
Rodriguez High School,District,"3,999","$2,547,363",$637.0,76.84%,80.74%
Shelton High School,Charter,"1,761","$1,056,600",$600.0,83.36%,83.73%
Thomas High School,Charter,"1,635","$1,043,130",$638.0,83.42%,83.85%
Wilson High School,Charter,"2,283","$1,319,574",$578.0,83.27%,83.99%
Wright High School,Charter,"1,800","$1,049,400",$583.0,83.68%,83.95%
